note_id,athlete_id,date,note_type,note_text
CN000001,A0001,2023-10-29,strategy,Taper response appears positive.
CN000002,A0001,2022-02-13,psychological,"Responds well to clear, direct cues."
CN000003,A0001,2021-12-14,selection,Needs one more strong result before final selection.
CN000004,A0001,2024-05-20,medical,No adverse response after return-to-run work.
CN000005,A0001,2020-01-17,medical,Recovery plan followed well this week.
CN000006,A0001,2021-04-08,psychological,Confidence building ahead of competition window.
CN000007,A0001,2021-09-09,selection,Showing enough consistency for relay pool consideration.
CN000008,A0001,2022-11-29,selection,Tracking positively for regional team consideration.
CN000009,A0002,2020-10-18,medical,No adverse response after return-to-run work.
CN000010,A0002,2023-02-15,selection,Needs one more strong result before final selection.
CN000011,A0002,2022-04-26,technical,Transition into upright posture is cleaner.
CN000012,A0002,2020-03-18,medical,Recovery plan followed well this week.
CN000013,A0002,2020-07-12,selection,Currently on reserve list for championship squad.
CN000014,A0002,2020-05-16,strategy,Race modeling should emphasize controlled first half.
CN000015,A0002,2020-10-11,strategy,Selection window should prioritize consistency.
CN000016,A0003,2024-04-14,selection,Needs one more strong result before final selection.
CN000017,A0003,2020-09-11,selection,Currently on reserve list for championship squad.
CN000018,A0003,2020-01-24,strategy,Race modeling should emphasize controlled first half.
CN000019,A0003,2023-04-30,medical,Monitor lower limb tightness after speed sessions.
CN000020,A0003,2020-08-05,psychological,"Responds well to clear, direct cues."
CN000021,A0003,2020-03-21,technical,Drive phase improving.
CN000022,A0003,2020-05-10,selection,Currently on reserve list for championship squad.
CN000023,A0004,2023-05-27,strategy,Selection window should prioritize consistency.
CN000024,A0004,2023-12-15,medical,No adverse response after return-to-run work.
CN000025,A0004,2024-10-03,strategy,Shift focus to primary event for next cycle.
CN000026,A0004,2024-09-08,selection,Currently on reserve list for championship squad.
CN000027,A0004,2020-01-18,selection,Showing enough consistency for relay pool consideration.
CN000028,A0005,2020-10-15,selection,Needs one more strong result before final selection.
CN000029,A0005,2024-01-14,technical,Stride rhythm is more consistent.
CN000030,A0005,2023-02-27,medical,No adverse response after return-to-run work.
CN000031,A0005,2024-08-14,psychological,Needs calmer start routine.
CN000032,A0005,2024-05-26,selection,Needs one more strong result before final selection.
CN000033,A0006,2023-06-24,strategy,Selection window should prioritize consistency.
CN000034,A0006,2021-11-28,psychological,Confidence building ahead of competition window.
CN000035,A0006,2020-07-30,selection,Needs one more strong result before final selection.
CN000036,A0006,2020-10-31,psychological,"Responds well to clear, direct cues."
CN000037,A0006,2024-11-08,selection,Tracking positively for regional team consideration.
CN000038,A0006,2024-02-12,technical,Transition into upright posture is cleaner.
CN000039,A0007,2024-01-05,medical,Monitor lower limb tightness after speed sessions.
CN000040,A0007,2023-02-02,technical,Needs better bend running mechanics.
